cst_id,incm_amt,age,main_zip_cd,cr_line_amt,pos_dt
1000001115,47676,41,11110,100000.00,2017-02-23 00:00:00
1000004693,27157,52,10170,80000.00,2017-02-23 00:00:00
1000008370,20990,27,10900,52000.00,2017-02-23 00:00:00
1000004738,21879,33,10150,40000.00,2017-02-23 00:00:00
1000000044,71361,62,50100,178000.00,2017-02-23 00:00:00
1000010322,32349,44,11110,64000.00,2017-02-23 00:00:00
1000005004,83500,38,11120,140000.00,2017-02-23 00:00:00
1000001685,15000,43,10150,37000.00,2017-02-23 00:00:00
1000006283,20638,46,14160,41000.00,2017-02-23 00:00:00
1000012699,15000,27,30000,18000.00,2017-02-23 00:00:00
1000009515,18878,26,20150,18000.00,2017-02-23 00:00:00
1000009496,110000,49,10240,220000.00,2017-02-23 00:00:00
1000002903,150000,51,10260,300000.00,2017-02-23 00:00:00
1000007016,148405,50,10150,370000.00,2017-02-23 00:00:00
1000006463,21820,45,11000,38000.00,2017-02-23 00:00:00
1000001456,360485,71,70000,240000.00,2017-02-23 00:00:00
1000000850,32000,61,10240,134000.00,2017-02-23 00:00:00
1000004447,38009,52,10170,99000.00,2017-02-23 00:00:00
1000001075,85160,58,21150,50000.00,2017-02-23 00:00:00
1000002516,15590,41,11120,31000.00,2017-02-23 00:00:00
1000011839,86711,42,22000,100000.00,2017-02-23 00:00:00
1000011333,51319,31,10700,100000.00,2017-02-23 00:00:00
1000008236,47803,41,83110,83000.00,2017-02-23 00:00:00
1000006926,71159,44,25140,170000.00,2017-02-23 00:00:00
1000012435,20784,53,10400,46000.00,2017-02-23 00:00:00
1000005697,16760,49,10310,30000.00,2017-02-23 00:00:00
1000007104,23107,32,40000,40000.00,2017-02-23 00:00:00
1000009183,52190,36,12000,104000.00,2017-02-23 00:00:00
1000009954,17000,26,10250,17000.00,2017-02-23 00:00:00
1000003944,20641,39,90110,40000.00,2017-02-23 00:00:00
1000005324,61530,29,10400,123000.00,2017-02-23 00:00:00
1000000901,19343,46,10300,77000.00,2017-02-23 00:00:00
1000013828,78079,38,30310,100000.00,2017-02-23 00:00:00
1000001200,68210,57,10400,130000.00,2017-02-23 00:00:00
1000005610,16000,32,10150,32000.00,2017-02-23 00:00:00
1000001835,37050,46,21150,92000.00,2017-02-23 00:00:00
1000010464,18755,31,10900,32000.00,2017-02-23 00:00:00
1000005503,37450,33,30000,60000.00,2017-02-23 00:00:00
1000011750,36537,47,12000,45000.00,2017-02-23 00:00:00
1000012237,95591,36,10310,120000.00,2017-02-23 00:00:00
1000001412,40000,51,30000,104000.00,2017-02-23 00:00:00
1000010138,65575,37,10250,70000.00,2017-02-23 00:00:00
1000007431,20621,29,20000,92000.00,2017-02-23 00:00:00
1000000473,129746,48,61000,110000.00,2017-02-23 00:00:00
1000001931,800448,45,10310,500000.00,2017-02-23 00:00:00
1000000913,59110,47,10520,100000.00,2017-02-23 00:00:00
1000011809,22500,28,21000,78000.00,2017-02-23 00:00:00
1000006835,253795,45,10120,571000.00,2017-02-23 00:00:00
1000004451,63325,55,10220,158000.00,2017-02-23 00:00:00
1000013179,100167,57,37240,120000.00,2017-02-23 00:00:00
1000006450,16490,35,11000,32000.00,2017-02-23 00:00:00
1000000009,105000,51,10230,230000.00,2017-02-23 00:00:00
1000002075,133670,59,31000,330000.00,2017-02-23 00:00:00
1000012396,42166,41,10540,84000.00,2017-02-23 00:00:00
1000000630,118772,60,10230,235000.00,2017-02-23 00:00:00
1000001782,25590,59,63000,49000.00,2017-02-23 00:00:00
1000000739,258994,48,40000,50000.00,2017-02-23 00:00:00
1000000210,60000,58,10270,150000.00,2017-02-23 00:00:00
1000011546,71310,38,10560,178000.00,2017-02-23 00:00:00
1000012841,181519,37,10150,180000.00,2017-02-23 00:00:00
1000010842,22329,26,25140,30000.00,2017-02-23 00:00:00
1000013089,21748,26,10220,38000.00,2017-02-23 00:00:00
1000009761,22500,27,10700,78000.00,2017-02-23 00:00:00
1000006394,35000,40,11120,50000.00,2017-02-23 00:00:00
1000013526,33335,40,65000,80000.00,2017-02-23 00:00:00
1000005800,31333,36,10540,60000.00,2017-02-23 00:00:00
1000012255,26000,30,10110,52000.00,2017-02-23 00:00:00
1000002994,25346,32,83150,88000.00,2017-02-23 00:00:00
1000000480,39960,50,10600,174000.00,2017-02-23 00:00:00
1000001187,20572,51,74000,55000.00,2017-02-23 00:00:00
1000003001,25106,31,10230,54000.00,2017-02-23 00:00:00
1000003031,75000,37,10160,262000.00,2017-02-23 00:00:00
1000010455,21000,52,10510,42000.00,2017-02-23 00:00:00
1000000567,38000,53,10600,184000.00,2017-02-23 00:00:00
1000004474,38210,63,10210,95000.00,2017-02-23 00:00:00
1000012307,15814,41,40210,27000.00,2017-02-23 00:00:00
1000013036,166666,40,10900,300000.00,2017-02-23 00:00:00
1000001928,75000,39,11000,262000.00,2017-02-23 00:00:00
1000010348,32467,30,60240,32000.00,2017-02-23 00:00:00
1000005432,49356,34,10150,150000.00,2017-02-23 00:00:00
1000004399,81085,34,10230,160000.00,2017-02-23 00:00:00
1000001594,108050,45,10310,216000.00,2017-02-23 00:00:00
1000004205,54790,43,10110,123000.00,2017-02-23 00:00:00
1000012820,72559,45,10230,145000.00,2017-02-23 00:00:00
1000012938,60537,41,10900,100000.00,2017-02-23 00:00:00
1000000849,23000,46,21000,120000.00,2017-02-23 00:00:00
1000004351,112250,57,10500,280000.00,2017-02-23 00:00:00
1000006596,48488,35,24130,100000.00,2017-02-23 00:00:00
1000005207,59141,67,11000,206000.00,2017-02-23 00:00:00
1000011687,25375,27,73220,50000.00,2017-02-23 00:00:00
1000004883,483033,41,10220,200000.00,2017-02-23 00:00:00
1000008118,36531,37,10600,36000.00,2017-02-23 00:00:00
1000004354,78769,61,73000,196000.00,2017-02-23 00:00:00
1000013745,397210,60,10110,400000.00,2017-02-23 00:00:00
1000002139,32260,38,10260,80000.00,2017-02-23 00:00:00
1000010532,136962,34,39350,207593.00,2017-02-23 00:00:00
1000002872,45400,36,10220,117000.00,2017-02-23 00:00:00
1000013454,138700,48,10260,242000.00,2017-02-23 00:00:00
1000006797,58477,34,10150,146000.00,2017-02-23 00:00:00
1000013264,50000,41,10240,80000.00,2017-02-23 00:00:00
1000007085,15875,49,90110,39000.00,2017-02-23 00:00:00
1000007689,50000,38,10260,125000.00,2017-02-23 00:00:00
1000012545,15000,27,84000,18000.00,2017-02-23 00:00:00
1000013772,35193,33,10260,60000.00,2017-02-23 00:00:00
1000005793,50210,40,10150,112000.00,2017-02-23 00:00:00
1000013356,19000,30,20230,23000.00,2017-02-23 00:00:00
1000007101,36517,40,12150,60000.00,2017-02-23 00:00:00
1000004065,244743,52,84000,400000.00,2017-02-23 00:00:00
1000002381,140000,34,10400,400000.00,2017-02-23 00:00:00
1000004450,60500,37,10800,211000.00,2017-02-23 00:00:00
1000011500,33093,32,10540,66000.00,2017-02-23 00:00:00
1000001407,86248,51,10400,100000.00,2017-02-23 00:00:00
1000010139,40000,43,10400,70000.00,2017-02-23 00:00:00
1000004300,225300,49,11120,563000.00,2017-02-23 00:00:00
1000002006,223300,60,10310,575000.00,2017-02-23 00:00:00
1000002417,196000,41,95110,392000.00,2017-02-23 00:00:00
1000013248,17543,36,20150,21000.00,2017-02-23 00:00:00
1000011959,74425,34,10240,148000.00,2017-02-23 00:00:00
1000013207,16465,38,10100,28000.00,2017-02-23 00:00:00
1000011215,29000,34,10160,50000.00,2017-02-23 00:00:00
1000004922,94340,48,60000,235000.00,2017-02-23 00:00:00
1000003528,62893,58,12000,150000.00,2017-02-23 00:00:00
1000006543,64000,54,10160,160000.00,2017-02-23 00:00:00
1000007441,26000,29,10260,52000.00,2017-02-23 00:00:00
1000005130,21006,47,10540,40000.00,2017-02-23 00:00:00
1000005482,31735,35,10150,111000.00,2017-02-23 00:00:00
1000010448,16690,29,10230,29000.00,2017-02-23 00:00:00
1000012901,18350,35,10500,32000.00,2017-02-23 00:00:00
1000010046,32877,33,11000,50000.00,2017-02-23 00:00:00
1000009743,130029,46,73000,150000.00,2017-02-23 00:00:00
1000009579,50000,33,10160,100000.00,2017-02-23 00:00:00
1000006029,75234,35,10330,200000.00,2017-02-23 00:00:00
1000006404,20000,34,10510,50000.00,2017-02-23 00:00:00
1000001083,190360,54,10240,432000.00,2017-02-23 00:00:00
1000002907,68096,43,10160,178000.00,2017-02-23 00:00:00
1000001063,18500,49,62000,35000.00,2017-02-23 00:00:00
1000010254,51000,31,10250,102000.00,2017-02-23 00:00:00
1000013464,51106,26,10210,178000.00,2017-02-23 00:00:00
1000011284,51561,26,13000,60000.00,2017-02-23 00:00:00
1000005564,195452,29,10600,200000.00,2017-02-23 00:00:00
1000002573,127653,44,11130,150000.00,2017-02-23 00:00:00
1000006181,155715,59,11000,350000.00,2017-02-23 00:00:00
1000006354,233530,44,70110,150000.00,2017-02-23 00:00:00
1000001576,70350,45,50000,57000.00,2017-02-23 00:00:00
1000000563,34000,65,12130,150000.00,2017-02-23 00:00:00
1000012743,85000,47,91000,100000.00,2017-02-23 00:00:00
1000003757,26090,40,45130,91000.00,2017-02-23 00:00:00
1000006378,42000,30,40000,210000.00,2017-02-23 00:00:00
1000010976,27409,31,20160,40000.00,2017-02-23 00:00:00
1000001789,18410,52,30000,30000.00,2017-02-23 00:00:00
1000003772,42360,56,10210,84000.00,2017-02-23 00:00:00
1000012557,25605,27,21140,40000.00,2017-02-23 00:00:00
1000007313,33055,59,12120,57000.00,2017-02-23 00:00:00
1000005188,88000,43,10260,266000.00,2017-02-23 00:00:00
1000006660,152366,37,10260,160000.00,2017-02-23 00:00:00
1000010521,155557,37,10260,310000.00,2017-02-23 00:00:00
1000002231,15000,43,10240,38000.00,2017-02-23 00:00:00
